key,title,value,comment
HELP_HTO_NORMALISATION,"<b>HTO Counts Normalization</b>","HTO counts must be normalized prior to be analyzed. Select the method you prefer: <BR><BR><b>Center-log ratio</b>: This method is the most commonly used for HTO counts.<BR><BR><b>Relative counts</b>:This is the most basic normalization, to be used cautiously.",""
HELP_HTO_DEMULTIPLEX,"<b>Sample Demultiplexing Using MULTI-seq</b>","You can choose to either let the demultiplexing algorithm decide for the best threshold to set to assign the cells to samples or set the threshold by yourself. The second solution is for experienced users.",""
HELP_HTO_RESULT,"<b>Number of cells by HTO</b>","The table summarizes the demultiplexing results.<BR>For each HTO, the number of cellular barcodes associated to it is indicated. Two other entries are displayed:<BR><BR><b>Doublet</b>: This is the number of cellular barcodes in which significant signal from several HTO has been detected. Most probably, those cellular barcodes correspond to groups of cells captured in the same droplet (doublet/multiplet).<BR><BR><b>Negative</b>:This is the number of cellular barcodes in which no significant signal from any HTO has been found. Most probably, they correspond to droplet with no captured cells.<BR><BR><b>Important note 1</b>: a large number of negative cellular barcodes may indicate issues with the binding of the oligo-tagged antibodies.<BR><BR><b>Important note 2</b>: removing Doublet and Negative barcodes is strongly suggested but not mandatory. If demultiplexing results are not clear, keeping all the barcodes for subsequent analysis may help understand the possible origin of those multiplet and negative barcodes and improve future experiments.",""
HELP_HTO_PLOTS,"<b>HTO Data Visualization</b>","Demultiplexing result","Two plots are available to show the demultiplexing results:<BR><BR><b>UMAP</b>: This is a UMAP embedding of the cellular barcodes using the HTO counts (instead of the RNA counts like in classical UMAP). Colors indicate the HTO tags and the doublet/negative barcodes. This UMAP allows to check whether the association seems correct or may be improved.<BR><b>Ridge plots</b>:A ridge plot represents for each group of cellular barcodes (title of the plot) the HTO counts associated to each HTO tag. Those plots allow to check whether the HTO counts of cellular barcodes associated to an HTO tag is effectively greater for this HTO tag than for the others. It also allows to check for the quality of the oligo-tagged antibodies binding : a low level signal in the associated HTO tag that is not clearly separted from the others HTO tag may indicate poor specific binding.",""
HELP_QC_PARAMS,"<b>Filter Low Quality Cells</b>","The control of quality of cells is based on four indicators:<BR><BR><b>Number of genes per cell</b>: The number of genes expressed in a cell can be very variable according to the cell type and cell state. However, cells with very few expressed genes or at the contrary with a very large number of genes may be considered abnormal. Based on the biological knowledge of your samples and on the vizualisation proposed below, you can decide to exclude cells having un number of genes outside a specific range.<BR><BR><b>Number of UMI per cell</b>: Similarly to gene number, number of UMI counted per cells may be an indicator of the quality of the cell information. Once again, based on the biological knowledge of the samples and on the vizualisation proposed below, you can decide to exclude the cells that are outside of a specified range of UMI counts.<BR><BR><b>
Percentage of mito genes/cell</b>: This indicator provides the percentage of detected genes in a cell that come from mitochondria. This percentage is used as a proxy for assessing cell viability and excluding non-viable cells with high percentages. As previously, based on the biological knowledge of the samples and on the vizualisation proposed below, you can decide to exclude the cells that are outside of a specified range of percentage.<BR><BR><b>
Percentage of ribo genes/cell</b>: This is similar to the previous indicator but considering the percentage of ribosomal genes.",""
HELP_QC_PLOTS,"<b>Visualization</b>","To help decision on QC thresholds, two visualization modes are available:<BR><BR><b>Violin plot</b>: Violin plots show the distribution of the four indicators to help for decision. Thresholds are displayed as dashed lines. Cells outside ranges are shown in grey and will be removed if the 'Filter Out' button is pressed.<BR><BR><b>Scatter plot</b>: The four indicators are often correlated with one another. The scatter plots allow you to display the relationship between two indicators to improve the threshold selection.",""
HELP_HVG_PARAMS,"<b>Gene Selection</b>","Gene selection allows to concentrate the analysis of most informative genes. Different methods are proposed that search for the highly variable genes (HVG).<BR><BR><b>vst</b>: First, fits a line to the relationship of log(variance) and log(mean) using local polynomial regression (loess). Then standardizes the feature values using the observed mean and expected variance (given by the fitted line). Feature variance is then calculated on the standardized values after clipping to a maximum. This method allows you to choose the number of genes to select.<BR><BR><b>mean.var.plot</b>: First, uses a function to calculate average expression (mean.function) and dispersion (dispersion.function) for each feature. Next, divides features into num.bin (default 20) bins based on their average expression, and calculates z-scores for dispersion within each bin. The purpose of this is to identify variable features while controlling for the strong relationship between variability and average expression.<BR><BR><b>dispersion</b>: Selects the genes with the highest dispersion values. This method allows you to choose the number of genes to select.",""
HELP_HVG_PLOTS,"<b>Visualization of Selected Genes</b>","According to the chosen method, the result of the analysis is displayed here as a plot with the count of selected/non-selected genes.",""
HELP_HVG_TABLE,"<b>Table of Selected Genes</b>","The list of the top 200 selected genes is displayed as a table. You can download the full table using the 'Download' button",""
HELP_PCA_PARAMS,"<b>PCA Parameters</b>","Choose the parameters to execute the PCA:<BR><BR><b>Choose Gene List</b>: Choose the list of selected genes you want to use. The list comes from the 'Gene Selection' step and may be edited in the Gene Lists module.<BR><BR><b>Set the Number of PC to Compute</b>: Enter the number of Principal Components you want to keep in the PCA.<BR><BR><b>Enter a Name for the PCA Result</b>: Enter a name that will help you memorize the parameter of the PCA in order to distinguish it from other PCA analyses you may execute later. This name will be used in other modules.<BR><BR><b>Variable to regress out</b>: You can decide to regress the data against one or more covariables. Study the PC correlation with the various covariables using the scatterplot and heatmap on this page. If you detect a correlation that comes from a technical or experimental artifact, you may want to regress this effect. Use regression cautiously.",""
HELP_PCA_SCATTER,"<b>Exploration of PC versus Metadata Correlation</b>","The scatterplot allows you to display the relationship between a Principal Component of a PCA and covariables. A strong correlation observed between a PC and a covariable may be due to biological, technical or experimental effect. If a technical or experiment origin of the correlation is detected, then it may be of interest to regress this dependency.",""
HELP_PCA_PC,"<b>Exploration of the Principal Components</b>","You can display a heatmap of the top loadings of each Principal Components in order to evaluate the origin of the variance carried by this PC.",""
HELP_PCA_HEATMAP,"<b>PC versus Metadata Correlations</b>","The heatmap displays an overview of the correlation between PC and some covariables. A blue color indicates positive correlation. A red color indicates negative correlation. The size of the circle is relative to the absolute value of the correlation. The intensity of the color is relative to the statistical significance of the correlation. Strong value of correlation indicated in this heatmap requires a visual inspection of the corresponding scatterplot between the PC and the covariable that can be done using the window on the 'Exploration of PC versus Metadata Correlation' window.",""
HELP_REDUCTION_PCA,"<b>PCA to Use</b>","Choose one of the PCA you executed in the 'PCA and regression' module. The t-SNE and UMAP will use this PCA to compute their dimensionality reduction.",""
HELP_TSNE_PARAMS,"<b>Parameters for t-SNE Embedding</b>","Choose the parameters for the t-SNE dimensionality reduction:<BR><BR><b>Set the number of PC to use</b>: Choose the number of PC to use from the chosen PCA. Use the plot displayed in the 'PCA to use' windows to determine the PCs with the maximum quantity of information.<BR><BR><b>Set the perplexity value</b>: The perplexity is a parameter used by the t-SNE algorithm that determines (loosely) how to balance attention between local and global aspects of your data.<BR><BR><b>Enter a Name for the t-SNE Embedding</b>: Enter a name that will help you memorize the parameters of the t-SNE in order to distinguish it from other t-SNE embeddings you may execute later. This name will be used in other modules.", ""
HELP_UMAP_PARAMS,"<b>Parameters for UMAP Embedding</b>","Choose the parameters for the UMAP dimensionality reduction:<BR><BR><b>Set the number of PC to use</b>: Choose the number of PC to use from the chosen PCA. Use the plot displayed in the 'PCA to use' windows to determine the PCs with the maximum quantity of information.<BR><BR><b>Set the Number of Neighbors to Use</b>: The number of neighbors determines the sensivity of the algorithm to local/large scale in your data.<BR><BR><b>Enter a Name for the UMAP Embedding</b>: Enter a name that will help you memorize the parameters of the UMAP in order to distinguish it from other UMAP embeddings you may execute later. This name will be used in other modules.", ""
HELP_CLUSTERING_PCA,"<b>PCA to Use</b>","Choose one of the PCA you executed in the 'PCA and Regression' module. The clustering will use this PCA to compute the clusters.",""
HELP_CLUSTERING_PARAMS,"<b>Parameters for Clustering</b>","Choose the parameters for the clustering:<BR><BR><b>Set the number of PC to use</b>: Choose the number of PC to use from the chosen PCA. Use the plot displayed in the 'PCA to use' windows to determine the PCs with the maximum quantity of information.<BR><BR><b>Choose Method to Identify Clusters</b>: Choose one of the available clustering algorithms.<BR><BR><b>Set the Resolution Value</b>: The resolution value determines the level of the clustering: the higher the resolution, the higher the number of clusters. Set this parameter so the number of clusters correspond to the information you need for the scientific questions you are asking.",""
HELP_MARKERS_PARAMS,"<b>Parameters for Marker Genes Analysis</b>","Marker genes of a cluster of cells are the genes that are differentially expressed between the cells of the cluster and the rest of the cells in the dataset. Choose the parameters for the marker genes analysis:<BR><BR><b>Set the Minimal Fraction of Cells Expressing Marker Genes</b>: the analysis considers only the genes that are detected at minimum in the given fraction of cells in either of the two populations. <BR><BR><b>Set the Minimal logFC of Gene Expression Difference</b>: Limit testing to genes which show, on average, at least X-fold difference (log-scale) between the two groups of cells.<BR><BR><b>Choose Method to Identify Marker Genes</b>: Denotes which test to use. Available options are:<BR>  'wilcox' : Identifies differentially expressed genes between two groups of cells using a Wilcoxon Rank Sum test.<BR>  'bimod' : Likelihood-ratio test for single cell gene expression, (McDavid et al., Bioinformatics, 2013).<BR>  't' : Identify differentially expressed genes between two groups of cells using the Student's t-test.<BR>  'negbinom' : Identifies differentially expressed genes between two groups of cells using a negative binomial generalized linear model.<BR>  'poisson' : Identifies differentially expressed genes between two groups of cells using a poisson generalized linear model. Use only for UMI-based datasets.<BR>  'LR' : Uses a logistic regression framework to determine differentially expressed genes. Constructs a logistic regression model predicting group membership based on each feature individually and compares this to a null model with a likelihood ratio test.<BR><BR><b>Select Only Positive Markers</b>: If checked, only the genes more expressed in the cells of the cluster than in the other cells will be reported.", ""
HELP_CLUSTERING_PLOT,"<b>Clusters Visualization</b>","The clusters can be displayed with different colors in an embedding (PCA, t-SNE or UMAP).<BR><BR><b>Choose Embedding to Display</b>: You can select the embedding in which the clusters will be displayed. The available embeddings are the PCA, the t-SNE and the UMAP you have computed in the previous steps.",""
HELP_MARKERS_RESULTS,"<b>Marker Genes Visualization</b>","The results of the marker genes analysis is displayed here in different ways:<BR><BR><b>Table of all marker genes</b>: This table displays all the marker genes for all the clusters. 'avg_log2FC' is the average log2 fold change between the cluster cells and the rest of the cells. 'pct.1' is the percentage of positive expression of the gene among the cells of the cluster. 'pct.2' is the percentage of positive expression of the gene outside the cluster. 'diff.pct' is the difference between the two previous percentages.<BR><BR><b>Feature Plots of Top Gene Makers by Cluster</b>: For each cluster, you can display the expression of the top 12 marker genes on an embedding map (t-SNE or UMAP). Select the cluster of interest thanks to the dropdown menu.<BR><BR><b>Table of Marker Genes by Cluster</b>: For each cluster, you can display the table of marker genes of this cluster. Columns are the same as in the 'All Marker Genes' table. Select the cluster of interest thanks to the dropdown menu.", ""
HELP_DEG_INPUT,"<b>Parameters to Define the Groups of Cells</b>","This analysis allows to detect the genes differentially expressed between two groups of cells. Select the parameters that will allow to define the two groups. You can use all the categorical analyses that have been computed in the previous steps (demultiplexing, clustering...):<BR><BR><b>Choose Annotation for Group 1</b>: Define the categorical variable to use to define the first group of cells.<BR><BR><b>Keep Labels for Group 1</b>: Select the labels carried by the cells of the group 1 by removing the non-used labels. To remove a label, click on it and use the 'del' or 'backspace' button on your keyboard.<BR><BR><b>Choose Annotation for Group 2</b>: Define the categorical variable to use to define the second group of cells.<BR><BR><b>Keep Labels for Group 2</b>: Select the labels carried by the cells of the group 2 by removing the non-used labels. To remove a label, click on it and use the 'del' or 'backspace' button on your keyboard.<BR><BR><b>Choose Embedding for Display</b>: Select an embedding computed in the previous step (PCA, t-SNE or UMAP) to visualize the two groups of cells you defined so you can check their accuracy.", ""
HELP_DEG_PARAMS,"<b>Parameters for Differential Expression Analysis</b>"," Choose the parameters for the differential expression analysis:<BR><BR><b>Set the Minimal Fraction of Cells Expressing Genes</b>: the analysis considers only the genes that are detected at minimum in the given fraction of cells in either of the two populations. <BR><BR><b>Set the Minimal logFC of Gene Expression Difference </b>: Limit testing to genes which show, on average, at least X-fold difference (log-scale) between the two groups of cells.<BR><BR><b>Choose Method to Identify Differentially Expressed Genes</b>: Denotes which test to use. Available options are:<BR>  'wilcox' : Identifies differentially expressed genes between two groups of cells using a Wilcoxon Rank Sum test.<BR>  'bimod' : Likelihood-ratio test for single cell gene expression, (McDavid et al., Bioinformatics, 2013).<BR>  't' : Identify differentially expressed genes between two groups of cells using the Student's t-test.<BR>  'negbinom' : Identifies differentially expressed genes between two groups of cells using a negative binomial generalized linear model.<BR>  'poisson' : Identifies differentially expressed genes between two groups of cells using a poisson generalized linear model. Use only for UMI-based datasets.<BR>  'LR' : Uses a logistic regression framework to determine differentially expressed genes. Constructs a logistic regression model predicting group membership based on each feature individually and compares this to a null model with a likelihood ratio test.<BR><BR><b>Select Only Positive Markers</b>: If checked, only the genes more expressed in the cells of the cluster than in the other cells will be reported.", ""
HELP_DEG_VIS,"<b>Visualization of the Groups of Cells</b>","The embedding displays the two groups of cells, the cells in common between the two groups and the cells outside the two groups in different colors. Quantification of groups is displayed below.<BR><BR><b>Important note</b>: the analysis cannot be performed if one of the groups is included in the other.", ""
HELP_DEG_TABLE,"<b>Table of Differentially Expressed Genes</b>","<BR><BR><b>Table of Differentially Expressed Genes</b>: The table displays all the reported differentially expressed genes. 'avg_log2FC' is the average log2 fold change between the two groups of cells. 'pct.1' is the percentage of positive expression of the gene over the cells of the group 1. 'pct.2' is the percentage of positive expression of the gene over the cells of the group 2. 'diff.pct' is the difference between the two previous percentages.<BR><BR><b>feature Plots of Top Differentially Expressed Genes</b>: The plots of the expression of the top 9 differentially expressed genes on an embedding map (t-SNE or UMAP).", ""
HELP_EXPLO_2D,"<b>Two-Dimensional Plot</b>","In this window, you can create a two-dimensional representation of your data:<BR><BR><b>Axis tab</b>: Select the two axes you want to plot your data in. The available choice of reductions come from the PCA, t-SNE and UMAP computed in the previous steps. Metadata and Features choices come from the data.<BR><BR><b>Color tab</b>: Select the qualitative (metadata) or quantitative (Feature) data that will be used to color the cells.<BR><BR><b>Layout tab</b>: Facets allows you to split a single embedding into several, creating one new embedding for each label of the chosen categorical variable. Activate the Facet option and select the qualitative data to use.<BR><BR><b>Theme tab</b>: Choose the way the plot is displayed (background color, axis...). <BR><BR><b>Selection tab</b>: This tab contains a map of the cells that have been selected on the 2D plot. Plot a first time the 2D plot. Then, on the right upper side of the plot, select the 'lasso' icon or the 'square' icon and draw a selection area on the 2D plot. This action will select the corresponding group of cells that will be listed here. You can then use the 'Save list' button to save the cell list in order to use it later.", ""
HELP_EXPLO_1D,"<b>One-Dimensional Plot</b>","In this window, you can create a one-dimensional representation of your data:<BR><BR><b>Plot Type tab</b>: Select the type of plot to realise : Violin plot, Histogram or Density plot. Metadata and Features choices come from the data.<BR><BR><b>Color tab</b>: Select the qualitative (metadata) data that will be used to color the cells.<BR><BR><b>Layout tab</b>: Facets allows you to split a single embedding into several, creating one new embedding for each label of the chosen categorical variable. Activate the Facet option and select the qualitative data to use.<BR><BR><b>Theme tab</b>: Choose the way the plot is displayed (background color, axis...). <BR><BR><b>Selection tab</b>: This tab contains a map of the cells that have been selected on the 1D plot. Plot a first time the 1D plot. Then, on the right upper side of the plot, select the 'lasso' icon or the 'square' icon and draw a selection area on the 1D plot. This action will select the corresponding group of cells that will be listed here. You can then use the 'Save list' button to save the cell list in order to use it later.", ""
HELP_EXPLO_TABLE,"<b>Table (Quantitative representation)</b>","In this window, you can create a tabular representation of your data:<BR><BR><b>Table of Content tab</b>: 'Number of cells' allows to display the number of cells associated with metadata of interest. 'Gene expression' allows to display the expression of a list of genes, classified by a metadata ", ""
HELP_LIST_IMPORT,"<b>Import Gene List</b>","Import a list of genes you want to integrate into your analysis: <BR><BR><b>Choose Input File to Upload</b>: Select a text file containing the list of genes.<BR><BR><b>Choose Column Separator</b>: Select the character that separates the columns into the loaded file.<BR><BR><b>Choose Quote Character</b>: Select the character that defines a string inside a column.", ""
HELP_LIST_EDIT,"<b>Edit Lists</b>","You can edit lists of genes to select/remove genes in order to create new lists:<BR><BR><b>Choose One or Several Lists</b>: Select one or several list. Their associated genes will be displayed below in 'List of Genes'.<BR><BR><b>List of Genes</b>: This is the list of genes coming from the selected list(s). Select the desired genes in the list by using CTRL+Click. Then click on the button below to create a new list for the selected genes.", ""
HELP_LIST_SIGNATURE,"<b>Compute Signature Scores from List</b>","You can compute a score of expression of a list of gene for every cell of the datatset. You can choose either the 'Signature Score' option to compute the score from a list you imported/created before or the 'Cell Cycle Score' option to compute score based on two lists of genes associated to cell cycle (G2M and S phases). For human and mouse species, the lists for cell cyle are provided. For other organisms, you have to import them before.", ""
HELP_SUBSET_PARAMS,"<b>Parameters to Define Subset</b>","You can define a project based on a subset of cells from the original project. To do so, select the Parameter (Metadata or Genes Expression) that would allow to define the cells to select. Then refine your selection by choosing the values of the labels/threshold for the selected data types. Click on the subset button to create a subproject containing only the selected cells.", ""
HELP_EXPORT_DATA,"<b>Export Data to File</b>","You can export data from the project you created. Select the type of data you want to export:<BR><BR><b>Seurat Object RDS File</b>: This option exports an RDS file containing only the data associated to the Seurat object but not containing the ShIVA project metatdata. This RDS file can be reimported in R using the R package Seurat in order to have a bioinformatician take advantage of your analysis and produce advanced analyses from yours. If you want to export the complete ShIVA project, use the 'Download ShIVA project' button on the left panel.<BR><BR><b>List of Genes</b>: This option exports the selected list of genes you created to a CSV file.<BR><BR><b>List of Cells</b>: This option exports the selected list of cells you created to a CSV file.", ""
